"Video_Frame_Index","Jaw_0_X","Jaw_0_Y","Jaw_1_X","Jaw_1_Y","Jaw_2_X","Jaw_2_Y","Jaw_3_X","Jaw_3_Y","Jaw_4_X","Jaw_4_Y","Jaw_5_X","Jaw_5_Y","Jaw_6_X","Jaw_6_Y","Jaw_7_X","Jaw_7_Y","Jaw_8_X","Jaw_8_Y","Jaw_9_X","Jaw_9_Y","Jaw_10_X","Jaw_10_Y","Jaw_11_X","Jaw_11_Y","Jaw_12_X","Jaw_12_Y","Jaw_13_X","Jaw_13_Y","Jaw_14_X","Jaw_14_Y","Jaw_15_X","Jaw_15_Y","Jaw_16_X","Jaw_16_Y","RightEyebrow_17_X","RightEyebrow_17_Y","RightEyebrow_18_X","RightEyebrow_18_Y","RightEyebrow_19_X","RightEyebrow_19_Y","RightEyebrow_20_X","RightEyebrow_20_Y","RightEyebrow_21_X","RightEyebrow_21_Y","LeftEyebrow_22_X","LeftEyebrow_22_Y","LeftEyebrow_23_X","LeftEyebrow_23_Y","LeftEyebrow_24_X","LeftEyebrow_24_Y","LeftEyebrow_25_X","LeftEyebrow_25_Y","LeftEyebrow_26_X","LeftEyebrow_26_Y","Nose_27_X","Nose_27_Y","Nose_28_X","Nose_28_Y","Nose_29_X","Nose_29_Y","Nose_30_X","Nose_30_Y","Nose_31_X","Nose_31_Y","Nose_32_X","Nose_32_Y","Nose_33_X","Nose_33_Y","Nose_34_X","Nose_34_Y","Nose_35_X","Nose_35_Y","RightEye_36_X","RightEye_36_Y","RightEye_37_X","RightEye_37_Y","RightEye_38_X","RightEye_38_Y","RightEye_39_X","RightEye_39_Y","RightEye_40_X","RightEye_40_Y","RightEye_41_X","RightEye_41_Y","LeftEye_42_X","LeftEye_42_Y","LeftEye_43_X","LeftEye_43_Y","LeftEye_44_X","LeftEye_44_Y","LeftEye_45_X","LeftEye_45_Y","LeftEye_46_X","LeftEye_46_Y","LeftEye_47_X","LeftEye_47_Y","Mouth_48_X","Mouth_48_Y","Mouth_49_X","Mouth_49_Y","Mouth_50_X","Mouth_50_Y","Mouth_51_X","Mouth_51_Y","Mouth_52_X","Mouth_52_Y","Mouth_53_X","Mouth_53_Y","Mouth_54_X","Mouth_54_Y","Mouth_55_X","Mouth_55_Y","Mouth_56_X","Mouth_56_Y","Mouth_57_X","Mouth_57_Y","Mouth_58_X","Mouth_58_Y","Mouth_59_X","Mouth_59_Y","Mouth_60_X","Mouth_60_Y","Mouth_61_X","Mouth_61_Y","Mouth_62_X","Mouth_62_Y","Mouth_63_X","Mouth_63_Y","Mouth_64_X","Mouth_64_Y","Mouth_65_X","Mouth_65_Y","Mouth_66_X","Mouth_66_Y","Mouth_67_X","Mouth_67_Y","Face_68_X","Face_68_Y","Face_69_X","Face_69_Y","Face_70_X","Face_70_Y","Face_71_X","Face_71_Y","Periocular_72_X","Periocular_72_Y","Periocular_73_X","Periocular_73_Y","Periocular_74_X","Periocular_74_Y","Periocular_75_X","Periocular_75_Y","LeftScreen_76_X","LeftScreen_76_Y","LeftScreen_77_X","LeftScreen_77_Y","LeftScreen_78_X","LeftScreen_78_Y","LeftScreen_79_X","LeftScreen_79_Y","RightScreen_80_X","RightScreen_80_Y","RightScreen_81_X","RightScreen_81_Y","RightScreen_82_X","RightScreen_82_Y","RightScreen_83_X","RightScreen_83_Y","WholeScreen_84_X","WholeScreen_84_Y","WholeScreen_85_X","WholeScreen_85_Y","WholeScreen_86_X","WholeScreen_86_Y","WholeScreen_87_X","WholeScreen_87_Y"
1,630.0,518.0,638.0,575.0,650.0,629.0,665.0,683.0,683.0,734.0,713.0,778.0,763.0,805.0,823.0,816.0,893.0,819.0,964.0,814.0,1021.0,798.0,1067.0,767.0,1091.0,721.0,1104.0,667.0,1114.0,611.0,1123.0,554.0,1126.0,497.0,659.88,423.96,691.08,377.16,742.68,347.16,801.48,342.36,857.88,360.36,890.88,357.16,946.08,336.76,1007.28,339.16,1060.08,365.56,1093.68,412.36,872.3333333333334,384.5333333333333,878.3333333333334,424.1333333333333,886.3333333333334,463.73333333333335,892.3333333333334,505.73333333333335,800.3333333333334,574.1333333333333,844.3333333333334,580.1333333333333,890.3333333333334,586.1333333333333,934.3333333333334,581.3333333333334,972.3333333333334,574.1333333333333,693.9333333333333,460.25,735.3333333333333,397.75,794.7333333333333,392.75,854.1333333333333,450.25,794.7333333333333,470.25,737.1333333333333,477.75,901.0666666666667,449.75,955.0666666666667,387.25,1014.4666666666667,392.25,1061.2666666666667,449.75,1016.2666666666667,472.25,956.8666666666667,469.75,762.5600000000001,670.53,813.26,636.93,858.76,615.33,887.36,622.53,912.0600000000001,615.33,956.26,634.53,1006.96,666.93,957.5600000000001,678.93,914.66,683.73,887.36,684.93,857.46,684.93,814.5600000000001,683.73,783.36,668.13,858.76,647.73,887.36,648.93,913.36,647.73,986.16,664.53,913.36,648.93,886.0600000000001,651.33,858.76,651.33,630.0,175.0,1126.0,175.0,1126.0,819.0,630.0,819.0,659.88,336.76,1093.68,336.76,1093.68,477.75,659.88,477.75,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
2,629.0,515.0,637.0,572.0,650.0,628.0,665.0,683.0,683.0,735.0,713.0,779.0,763.0,807.0,823.0,817.0,893.0,819.0,964.0,814.0,1021.0,798.0,1067.0,766.0,1092.0,720.0,1105.0,665.0,1115.0,608.0,1123.0,550.0,1126.0,491.0,659.76,423.88,692.16,377.08,743.76,348.28,802.56,343.48,857.76,360.28,892.16,357.24,946.16,336.84,1006.16,339.24,1058.96,364.44,1092.56,411.24,872.3333333333334,385.62222222222226,878.3333333333334,425.22222222222223,886.3333333333334,464.8222222222222,892.3333333333334,506.8222222222222,800.3333333333334,574.0222222222222,844.3333333333334,581.2222222222222,890.3333333333334,586.0222222222222,934.3333333333334,581.2222222222222,972.3333333333334,574.0222222222222,693.9333333333333,458.0,735.3333333333333,398.0,794.7333333333333,393.0,854.1333333333333,450.5,794.7333333333333,470.5,737.1333333333333,478.0,899.6666666666667,450.25,953.6666666666667,387.75,1014.8666666666667,390.25,1061.6666666666667,447.75,1014.8666666666667,472.75,957.2666666666667,470.25,762.6800000000001,670.53,813.38,636.93,857.58,616.53,886.1800000000001,623.73,912.1800000000001,616.53,956.38,634.53,1007.08,666.93,956.38,678.93,914.78,682.53,886.1800000000001,683.73,856.28,683.73,814.6800000000001,683.73,783.48,669.33,858.88,647.73,887.48,648.93,913.48,647.73,986.28,665.73,912.1800000000001,648.93,884.88,650.13,857.58,650.13,629.0,163.0,1126.0,163.0,1126.0,819.0,629.0,819.0,659.76,336.84,1092.56,336.84,1092.56,478.0,659.76,478.0,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
3,631.0,519.0,638.0,576.0,650.0,630.0,666.0,685.0,683.0,735.0,713.0,779.0,762.0,806.0,821.0,817.0,891.0,820.0,962.0,815.0,1019.0,798.0,1065.0,767.0,1091.0,721.0,1104.0,667.0,1115.0,609.0,1123.0,552.0,1126.0,494.0,659.8,423.96,692.2,377.16,742.6,347.16,802.6,342.36,857.8,360.36,891.0,357.2,946.2,336.8,1006.2,339.2,1059.0,364.4,1092.6,412.4,872.5555555555555,385.6666666666667,878.5555555555555,425.26666666666665,884.5555555555555,464.8666666666667,890.5555555555555,505.6666666666667,800.5555555555555,574.0666666666667,844.5555555555555,580.0666666666667,890.5555555555555,586.0666666666667,934.5555555555555,581.2666666666667,972.5555555555555,574.0666666666667,693.9333333333333,460.0,735.3333333333333,397.5,794.7333333333333,392.5,854.1333333333333,450.0,794.7333333333333,472.5,737.1333333333333,477.5,899.9333333333333,452.25,953.9333333333333,387.25,1013.3333333333333,389.75,1060.1333333333332,449.75,1015.1333333333333,472.25,957.5333333333333,469.75,761.41,670.46,813.41,636.86,857.61,616.46,886.21,623.66,912.21,616.46,955.11,634.46,1007.11,666.86,956.41,678.86,914.8100000000001,683.66,886.21,686.06,856.3100000000001,684.86,814.71,683.66,783.51,669.26,858.91,647.66,887.51,648.86,913.51,647.66,986.3100000000001,665.66,912.21,650.06,884.91,651.26,857.61,651.26,631.0,168.0,1126.0,168.0,1126.0,820.0,631.0,820.0,659.8,336.8,1092.6,336.8,1092.6,477.5,659.8,477.5,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
4,629.0,517.0,636.0,574.0,648.0,629.0,664.0,684.0,682.0,735.0,713.0,780.0,763.0,807.0,823.0,818.0,894.0,821.0,965.0,816.0,1022.0,797.0,1067.0,766.0,1092.0,720.0,1104.0,665.0,1114.0,608.0,1122.0,550.0,1126.0,492.0,658.76,425.16,691.16,377.16,741.56,347.16,801.56,342.36,857.96,359.16,892.08,356.04,947.28,336.84,1007.28,339.24,1058.88,364.44,1092.48,412.44,873.0,384.5333333333333,879.0,424.1333333333333,885.0,463.73333333333335,891.0,505.73333333333335,801.0,572.9333333333333,843.0,581.3333333333334,889.0,586.1333333333333,933.0,581.3333333333334,971.0,574.1333333333333,694.2,460.0,733.8,397.5,793.2,392.5,854.4,450.0,795.0,472.5,737.4,477.5,900.0666666666667,450.0,954.0666666666667,387.5,1013.4666666666667,390.0,1060.2666666666667,450.0,1015.2666666666667,472.5,955.8666666666667,470.0,763.98,670.49,813.38,636.89,857.58,616.49,886.1800000000001,623.69,912.1800000000001,616.49,955.08,634.49,1005.78,666.89,956.38,678.89,914.78,682.49,886.1800000000001,684.89,856.28,684.89,815.98,683.69,784.78,669.29,858.88,647.69,886.1800000000001,647.69,913.48,647.69,984.98,665.69,913.48,650.09,884.88,651.29,857.58,651.29,629.0,163.0,1126.0,163.0,1126.0,821.0,629.0,821.0,658.76,336.84,1092.48,336.84,1092.48,477.5,658.76,477.5,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
5,628.0,518.0,636.0,574.0,649.0,628.0,664.0,683.0,681.0,735.0,712.0,779.0,762.0,806.0,822.0,817.0,892.0,819.0,962.0,814.0,1020.0,796.0,1066.0,766.0,1092.0,720.0,1104.0,666.0,1114.0,609.0,1122.0,552.0,1126.0,494.0,658.72,423.96,691.12,375.96,742.72,347.16,801.52,343.56,857.92,360.36,891.0,356.04,946.2,336.84,1006.2,338.04,1059.0,364.44,1092.6,413.64,872.7777777777778,385.7555555555556,878.7777777777778,425.35555555555555,884.7777777777778,464.9555555555556,890.7777777777778,505.7555555555556,798.7777777777778,572.9555555555555,842.7777777777778,580.1555555555556,890.7777777777778,584.9555555555555,934.7777777777778,580.1555555555556,972.7777777777778,572.9555555555555,692.6666666666667,458.5,734.0666666666667,396.0,793.4666666666667,391.0,854.6666666666667,451.0,795.2666666666667,471.0,735.8666666666667,478.5,898.5333333333333,450.25,952.5333333333333,387.75,1013.7333333333333,390.25,1060.5333333333333,447.75,1015.5333333333333,472.75,956.1333333333333,470.25,760.26,670.48,812.26,636.88,857.76,616.48,886.36,623.68,911.0600000000001,616.48,955.26,634.48,1005.96,666.88,955.26,678.88,914.96,683.68,885.0600000000001,684.88,856.46,684.88,814.86,683.68,782.36,668.08,859.0600000000001,647.68,886.36,648.88,912.36,647.68,985.16,665.68,912.36,650.08,885.0600000000001,651.28,857.76,651.28,628.0,169.0,1126.0,169.0,1126.0,819.0,628.0,819.0,658.72,336.84,1092.6,336.84,1092.6,478.5,658.72,478.5,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
6,628.0,514.0,636.0,572.0,648.0,627.0,664.0,683.0,682.0,734.0,713.0,779.0,762.0,806.0,822.0,817.0,892.0,819.0,963.0,814.0,1021.0,795.0,1067.0,764.0,1092.0,717.0,1104.0,663.0,1114.0,606.0,1122.0,549.0,1125.0,491.0,658.8,423.0,691.2,375.0,741.6,346.2,801.6,341.4,856.8,359.4,891.04,356.12,946.24,336.92,1006.24,338.12,1059.04,364.52,1091.44,411.32,872.8888888888889,385.8,878.8888888888889,425.4,884.8888888888889,463.8,890.8888888888889,504.6,800.8888888888889,573.0,842.8888888888889,579.0,888.8888888888889,585.0,932.8888888888889,580.2,972.8888888888889,574.2,694.3333333333333,457.0,735.7333333333333,394.5,793.3333333333333,392.0,852.7333333333333,449.5,795.1333333333333,472.0,735.7333333333333,477.0,900.6,451.25,952.8,386.25,1012.2,388.75,1059.0,448.75,1014.0,471.25,956.4,468.75,761.575,671.7,813.575,636.9,857.775,615.3,885.075,622.5,911.075,616.5,953.975,634.5,1004.675,665.7,955.275,680.1,914.975,683.7,886.375,684.9,856.475,684.9,814.875,683.7,783.675,669.3,859.075,647.7,886.375,647.7,912.375,647.7,982.575,664.5,912.375,650.1,885.075,651.3,857.775,651.3,628.0,163.0,1125.0,163.0,1125.0,819.0,628.0,819.0,658.8,336.92,1091.44,336.92,1091.44,477.0,658.8,477.0,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
7,629.0,515.0,637.0,572.0,648.0,626.0,662.0,680.0,679.0,732.0,710.0,777.0,759.0,805.0,819.0,818.0,890.0,822.0,963.0,816.0,1020.0,797.0,1066.0,766.0,1091.0,719.0,1103.0,665.0,1113.0,609.0,1121.0,552.0,1125.0,495.0,658.88,423.12,690.08,373.92,741.68,345.12,800.48,341.52,856.88,358.32,890.84,356.24,947.24,335.84,1007.24,337.04,1060.04,362.24,1093.64,412.64,871.7777777777778,384.6666666666667,877.7777777777778,424.26666666666665,885.7777777777778,463.8666666666667,891.7777777777778,505.8666666666667,799.7777777777778,571.8666666666667,841.7777777777778,579.0666666666667,887.7777777777778,585.0666666666667,931.7777777777778,580.2666666666667,969.7777777777778,573.0666666666667,694.4666666666667,458.0,735.8666666666667,393.0,793.4666666666667,390.5,852.8666666666667,448.0,793.4666666666667,470.5,735.8666666666667,478.0,898.8,449.5,952.8,384.5,1014.0,387.0,1059.0,449.5,1014.0,472.0,956.4,469.5,761.77,671.7,812.47,635.7,856.67,615.3,885.27,621.3,911.27,615.3,954.17,632.1,1003.5699999999999,666.9,954.17,680.1,913.87,683.7,885.27,686.1,855.37,684.9,813.77,684.9,783.87,669.3,857.97,646.5,885.27,647.7,912.5699999999999,646.5,982.77,665.7,911.27,651.3,883.97,652.5,856.67,652.5,629.0,168.0,1125.0,168.0,1125.0,822.0,629.0,822.0,658.88,335.84,1093.64,335.84,1093.64,478.0,658.88,478.0,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
8,628.0,517.0,636.0,575.0,648.0,629.0,663.0,684.0,681.0,736.0,712.0,781.0,761.0,808.0,821.0,820.0,892.0,823.0,962.0,817.0,1018.0,798.0,1064.0,767.0,1089.0,721.0,1102.0,669.0,1114.0,613.0,1122.0,555.0,1125.0,498.0,659.08,422.16,689.08,374.16,740.68,344.16,799.48,339.36,854.68,356.16,892.12,352.96,947.32,333.76,1007.32,336.16,1058.92,362.56,1091.32,410.56,871.7777777777778,383.55555555555554,879.7777777777778,424.35555555555555,885.7777777777778,463.9555555555556,889.7777777777778,504.7555555555556,799.7777777777778,571.9555555555555,841.7777777777778,579.1555555555556,887.7777777777778,583.9555555555555,931.7777777777778,579.1555555555556,969.7777777777778,573.1555555555556,693.3333333333333,456.5,732.9333333333333,394.0,792.3333333333333,389.0,851.7333333333333,449.0,794.1333333333333,469.0,736.5333333333333,476.5,900.0666666666667,450.25,954.0666666666667,385.25,1013.4666666666667,387.75,1060.2666666666667,447.75,1015.2666666666667,470.25,955.8666666666667,467.75,764.4300000000001,670.39,812.53,635.59,856.73,615.19,884.03,622.39,910.03,615.19,954.23,633.19,1001.03,666.79,954.23,681.19,913.9300000000001,685.99,885.33,687.19,855.4300000000001,687.19,815.13,684.79,785.23,667.99,858.03,648.79,885.33,648.79,911.33,648.79,980.23,665.59,910.03,651.19,884.03,652.39,856.73,652.39,628.0,173.0,1125.0,173.0,1125.0,823.0,628.0,823.0,659.08,333.76,1091.32,333.76,1091.32,476.5,659.08,476.5,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
9,627.0,518.0,635.0,576.0,647.0,631.0,663.0,686.0,682.0,737.0,712.0,781.0,761.0,809.0,821.0,822.0,891.0,826.0,963.0,820.0,1018.0,800.0,1064.0,768.0,1089.0,722.0,1102.0,669.0,1113.0,613.0,1121.0,556.0,1124.0,498.0,658.8,422.08,690.0,374.08,741.6,344.08,801.6,340.48,858.0,357.28,890.08,354.2,945.28,333.8,1004.08,335.0,1058.08,361.4,1090.48,410.6,871.8888888888889,383.6666666666667,877.8888888888889,423.26666666666665,883.8888888888889,462.8666666666667,889.8888888888889,503.6666666666667,799.8888888888889,570.8666666666667,841.8888888888889,579.2666666666667,887.8888888888889,585.2666666666667,931.8888888888889,579.2666666666667,971.8888888888889,570.8666666666667,693.0666666666667,456.75,734.4666666666667,394.25,792.0666666666667,389.25,853.2666666666667,446.75,793.8666666666667,469.25,736.2666666666667,476.75,900.3333333333333,448.25,952.5333333333333,383.25,1013.7333333333333,388.25,1060.5333333333333,448.25,1013.7333333333333,470.75,956.1333333333333,468.25,764.46,671.3,812.5600000000001,635.3,856.76,613.7,884.0600000000001,620.9,910.0600000000001,613.7,954.26,632.9,1001.0600000000001,667.7,954.26,684.5,912.66,690.5,885.36,691.7,855.46,691.7,813.86,688.1,786.5600000000001,668.9,858.0600000000001,648.5,885.36,649.7,911.36,648.5,978.96,666.5,910.0600000000001,654.5,884.0600000000001,655.7,856.76,655.7,627.0,170.0,1124.0,170.0,1124.0,826.0,627.0,826.0,658.8,333.8,1090.48,333.8,1090.48,476.75,658.8,476.75,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
10,627.0,515.0,635.0,573.0,647.0,628.0,662.0,683.0,680.0,736.0,712.0,781.0,761.0,810.0,821.0,824.0,891.0,828.0,962.0,821.0,1019.0,800.0,1064.0,768.0,1090.0,721.0,1103.0,667.0,1114.0,610.0,1122.0,553.0,1124.0,495.0,658.84,419.96,691.24,371.96,741.64,343.16,800.44,339.56,856.84,356.36,891.4,353.16,945.4,333.96,1004.2,335.16,1055.8,360.36,1088.2,408.36,871.8888888888889,383.7111111111111,877.8888888888889,423.31111111111113,883.8888888888889,461.7111111111111,889.8888888888889,503.7111111111111,801.8888888888889,570.9111111111112,843.8888888888889,578.1111111111111,887.8888888888889,584.1111111111111,931.8888888888889,579.3111111111111,967.8888888888889,572.1111111111111,693.2,455.5,734.6,393.0,792.2,390.5,851.6,445.5,794.0,468.0,736.4,475.5,899.6,446.25,951.8,386.25,1011.2,386.25,1058.0,446.25,1013.0,471.25,955.4,468.75,765.745,673.42,812.545,635.02,856.745,614.62,885.345,621.82,910.045,614.62,952.9449999999999,632.62,998.4449999999999,671.02,954.245,686.62,913.9449999999999,691.42,885.345,693.82,855.4449999999999,692.62,813.845,690.22,786.545,671.02,858.045,649.42,886.645,649.42,911.345,649.42,977.645,669.82,911.345,656.62,884.045,656.62,856.745,657.82,627.0,162.0,1124.0,162.0,1124.0,828.0,627.0,828.0,658.84,333.96,1088.2,333.96,1088.2,475.5,658.84,475.5,0.0,0.0,960.0,0.0,960.0,1080.0,0.0,1080.0,960.0,0.0,1920.0,0.0,1920.0,1080.0,960.0,1080.0,0.0,0.0,1920.0,0.0,1920.0,1080.0,0.0,1080.0
